s,e,r,u,r-u
0.4,0.05,0.2,0.05,0.15
0.4,0.05,0.3,0.05,0.25
0.4,0.05,0.4,0.05,0.35
0.4,0.05,0.5,0.05,0.45
0.4,0.05,0.6,0.05,0.55
0.4,0.15,0.2,0.05,0.15
0.4,0.15,0.3,0.05,0.25
0.4,0.15,0.4,0.05,0.35
0.4,0.15,0.5,0.05,0.45
0.4,0.15,0.6,0.05,0.55
0.4,0.25,0.2,0.05,0.15
0.4,0.25,0.3,0.05,0.25
0.4,0.25,0.4,0.05,0.35
0.4,0.25,0.5,0.05,0.45
0.4,0.25,0.6,0.05,0.55
0.4,0.35,0.2,0.05,0.15
0.4,0.35,0.3,0.05,0.25
0.4,0.35,0.4,0.05,0.35
0.4,0.35,0.5,0.05,0.45
0.4,0.35,0.6,0.05,0.55
0.4,0.45,0.2,0.05,0.15
0.4,0.45,0.3,0.05,0.25
0.4,0.45,0.4,0.05,0.35
0.4,0.45,0.5,0.05,0.45
0.4,0.45,0.6,0.05,0.55
0.4,0.45,0.7,0.05,0.65
0.5,0.05,0.2,0.05,0.15
0.5,0.05,0.3,0.05,0.25
0.5,0.05,0.4,0.05,0.35
0.5,0.05,0.5,0.05,0.45
0.5,0.15,0.2,0.05,0.15
0.5,0.15,0.3,0.05,0.25
0.5,0.15,0.4,0.05,0.35
0.5,0.15,0.5,0.05,0.45
0.5,0.25,0.2,0.05,0.15
0.5,0.25,0.3,0.05,0.25
0.5,0.25,0.4,0.05,0.35
0.5,0.25,0.5,0.05,0.45
0.5,0.35,0.2,0.05,0.15
0.5,0.35,0.3,0.05,0.25
0.5,0.35,0.4,0.05,0.35
0.5,0.35,0.5,0.05,0.45
0.5,0.45,0.2,0.05,0.15
0.5,0.45,0.3,0.05,0.25
0.5,0.45,0.4,0.05,0.35
0.5,0.45,0.5,0.05,0.45
0.6,0.45,0.2,0.05,0.15
