# drivers,s,e,r,u
2,0.5,0.15,0.3,0.05
2,0.5,0.25,0.2,0.05
2,0.5,0.25,0.3,0.05
2,0.5,0.25,0.3,0.15
2,0.5,0.25,0.4,0.05
2,0.5,0.25,0.4,0.15
2,0.5,0.35,0.2,0.05
2,0.5,0.35,0.3,0.05
2,0.5,0.35,0.3,0.15
2,0.5,0.35,0.4,0.05
2,0.5,0.35,0.4,0.15
2,0.5,0.35,0.5,0.05
2,0.5,0.35,0.6,0.05
2,0.5,0.45,0.2,0.05
2,0.5,0.45,0.3,0.05
2,0.6,0.15,0.4,0.15
2,0.6,0.25,0.2,0.05
2,0.6,0.25,0.2,0.15
2,0.6,0.25,0.3,0.05
2,0.6,0.25,0.3,0.15
2,0.6,0.25,0.4,0.05
2,0.6,0.25,0.4,0.15
2,0.6,0.25,0.5,0.05
2,0.6,0.25,0.5,0.15
2,0.6,0.35,0.2,0.05
2,0.6,0.35,0.2,0.15
2,0.6,0.35,0.3,0.05
2,0.6,0.35,0.3,0.15
2,0.6,0.35,0.4,0.05
2,0.6,0.35,0.4,0.15
2,0.6,0.35,0.5,0.05
2,0.6,0.35,0.5,0.15
2,0.6,0.35,0.6,0.05
2,0.6,0.35,0.6,0.15
2,0.6,0.45,0.2,0.05
2,0.6,0.45,0.2,0.15
2,0.6,0.45,0.3,0.05
2,0.6,0.45,0.3,0.15
2,0.6,0.45,0.4,0.05
2,0.6,0.45,0.4,0.15
2,0.6,0.45,0.5,0.05
2,0.6,0.45,0.5,0.15
2,0.6,0.45,0.6,0.05
2,0.6,0.45,0.6,0.15
